OTU	Aug_P05_0001	Aug_P05_0020	Aug_P05_0213	Aug_P06_0001	Aug_P06_0024	Aug_P06_0500	Aug_P06_1000	Aug_P07_0001	Aug_P07_0025	Aug_P07_0500	Aug_P07_1000	Jan_B08_0001	Jan_B08_0020	Jan_B08_0500	Jan_B08_1000	Jan_B16_0001	Jan_B16_0020	Jan_B16_0500	Jan_B16_1000	Mar_M02_0001	Mar_M02_0320	Mar_M02_1000	Mar_M03_0001	Mar_M03_0020	Mar_M04_0001	Mar_M04_0020	Mar_M05_0020	Mar_M05_0120	Mar_M06_0020	May_P01_0001	May_P01_0020	May_P01_0417	May_P03_0001	May_P03_0015	May_P03_0447	May_P04_0001	May_P04_0015	May_P04_0500	May_P04_1000	Nov_N02_0020	Nov_N03_0020	Nov_N03_0300	Nov_N04_0020	Nov_N04_1000
ASV_35_DG-I-Clade-2	-0.4007939910771796	5.940723974051235	8.429597333841082	-0.3420717412893577	-0.43738864667247235	7.84684880740399	7.8878077059525875	8.261881220196312	-0.2796439566300144	6.918591858383897	7.340842870708671	5.4572341285927415	5.807721261784651	5.828362202678323	5.187058170474068	6.59873147559281	6.562155138749778	3.976800007265288	7.221028681374899	6.512733108777305	5.328668082994544	5.575935052526135	7.396614755801043	5.892003765196835	6.914404275885496	6.115380903762835	6.522266537293297	6.370753157874955	4.937019904700184	-0.25974782082816006	-0.2943680510325919	3.8101142877109773	-0.24889822353026503	4.728371246099434	5.224865984960436	-0.1860800704447918	-0.28412228719097854	4.670901285306969	6.969521472126641	5.564180748065114	4.619752822618971	8.40694971906498	5.803961523839254	-0.4966613437759566
ASV_60_DG-II-Clade-5	-0.4007939910771796	-0.993729786418104	6.143555860036258	-0.3420717412893577	-0.43738864667247235	6.041179713758358	-0.18544069055993617	-0.2794776044362095	-0.2796439566300144	6.206918765982025	5.259439525397497	7.825114376819798	7.703041041331707	7.674323136016165	6.118984227748985	5.879771535249579	6.157078853874732	5.494951374011182	8.439947780324548	8.332396167966317	7.149117240317781	8.578189036672104	6.253503204687443	7.283957462472096	6.247496853328196	7.2415260142019795	7.922955270296476	8.88826814183701	7.609481698096046	-0.25974782082816006	-0.2943680510325919	7.066089101433998	-0.24889822353026503	5.665528374904939	6.80554550316446	-0.1860800704447918	-0.28412228719097854	7.253286151915589	6.108889592661619	5.902486460698417	6.735347062938963	4.5333033961143006	7.401018083108255	-0.4966613437759566
ASV_2_DG-I-Clade-1	8.516055306417876	7.185246136209284	8.66204782632568	10.23940367734623	9.031336696439615	5.248914779985871	8.986212127094127	9.324372133130085	9.59370979844729	6.161440239974251	6.040998344814412	3.4713186449237288	2.6344558542862266	-0.94733608175585	3.1145596839114127	5.70479894322245	4.83117723427316	-0.44428268432921314	-0.6287199419630252	5.373137879663138	4.1466754692062615	-0.7258612872079269	9.142825148713348	5.447497043310241	9.24397170658704	5.873539658455097	6.183104363363414	6.296150923706249	-1.2324164955630152	5.8065710322672945	5.932136887861866	-0.7368652794682049	6.468336499328927	-0.344724052742615	-0.4938648108114574	-0.1860800704447918	6.534926031094488	-0.806144107412246	5.589988606295485	6.115479097245063	7.36022455512772	4.560547589301857	5.111970922119629	-0.4966613437759566
ASV_65_DG-I-Clade-2	-0.4007939910771796	-0.993729786418104	7.704826593963472	-0.3420717412893577	-0.43738864667247235	4.587200329593785	-0.18544069055993617	-0.2794776044362095	-0.2796439566300144	7.03240259037692	5.089949693193939	7.561312017741683	7.186723443410941	6.704321221970423	6.072213447932949	7.764732142769386	6.812207449624378	5.102317889103642	5.496374065677996	7.4117772540607305	5.420176959583774	4.1829941939093604	5.966191391801763	6.968973936964557	7.828646579569315	8.2806995328257	8.831629761946907	6.653740030877384	6.923818347756247	4.246731337694291	6.656013193074163	5.4978699074936035	-0.24889822353026503	6.062025432664706	6.17089201546675	-0.1860800704447918	-0.28412228719097854	7.037346966587616	2.716905483068974	6.230255598679802	-0.6214945391896247	5.166593723514311	8.890729313284517	6.830632986848568
ASV_96_DG-II-Clade-14	6.085820764515829	7.121130152134529	-0.618945916113617	7.869925314374525	7.089687647284045	4.987329180304113	-0.18544069055993617	6.637971435564673	7.524044257654581	5.181112980809833	-0.8552522142025936	6.346164332290974	6.487080799054341	6.363407157613548	5.525139182542889	5.465958437617835	7.1838460895917855	7.4241056345727365	-0.6287199419630252	6.3793075184396715	7.62693985533083	-0.7258612872079269	6.225364069627307	5.8093141256940015	4.945233054342664	5.581752385911711	6.443555614788888	6.04174768622227	5.949366532880231	4.580045090908184	4.298110212189291	4.817687795928229	-0.24889822353026503	-0.344724052742615	5.866856559028231	4.581647706326731	4.909655952792186	6.700657940190243	5.087555532558569	6.109190150400748	-0.6214945391896247	5.4123300425959515	6.734626397177054	-0.4966613437759566
ASV_14_DG-II-Clade-14	9.66733300704949	8.641529612032489	6.496033400978382	8.972975196777096	10.611091031521516	5.156792708297019	6.453720343764184	6.47109739888681	10.873554364496503	5.607352643756523	-0.8552522142025936	5.227436422825858	5.311823126567839	5.380982283249633	-0.9785645623638448	-0.8381333419371089	-0.5968889939737725	-0.44428268432921314	-0.6287199419630252	-0.6952422641239444	-0.7562331015364432	-0.7258612872079269	-0.5490056394309928	-0.9581834648860195	-0.6598751267231577	-0.7054562131222468	-0.543915928171943	-0.8049821965236994	5.684736617776481	8.224823422923015	9.32494988729315	8.497830221892665	9.201572052671349	9.37133592734286	8.619653238648663	7.977921639773748	7.82423812795989	8.346655488960113	7.23051329662921	6.860812090224908	7.9468396691595125	4.7329323757541415	6.865292445837416	-0.4966613437759566
ASV_30_DG-II-Clade-7	-0.4007939910771796	5.981927592224706	8.584846555675	-0.3420717412893577	-0.43738864667247235	7.629008913797352	-0.18544069055993617	7.40469590120027	-0.2796439566300144	9.00058229496522	7.028309941626542	7.325748144344632	7.425623672196466	7.397230746376023	7.223122318573144	4.872062465994498	6.127261230796144	9.467324859129086	9.925027279283823	5.687006353427824	9.065053577387985	10.040820360574273	-0.5490056394309928	-0.9581834648860195	-0.6598751267231577	-0.7054562131222468	-0.543915928171943	5.774194707494128	7.981726010882321	6.061980466701095	-0.2943680510325919	5.720621352300421	-0.24889822353026503	-0.344724052742615	7.04039752683701	-0.1860800704447918	-0.28412228719097854	7.565061758818745	6.683818493509249	6.380478271850326	6.8122608280684185	7.523580687123724	8.922539486827617	-0.4966613437759566
ASV_152_DG-II-Clade-42	4.424644476563035	5.79979288836115	4.8345031731311385	-0.3420717412893577	6.666648585362471	4.942364405248958	5.943766422791523	-0.2794776044362095	-0.2796439566300144	2.7120003247951487	5.3769769578994175	2.896887771203165	2.5119588455436705	3.909733117220087	5.0097853229070655	4.257249115276692	4.936098495481871	6.642151357970284	7.466333006687813	6.470205696239547	6.104530761777771	7.638476346006323	5.236897282170193	6.154521716832441	5.167640530315446	5.757638456410725	6.284085271903721	5.480430303140509	2.908969883996347	6.578511072335103	5.676779782277536	4.260970152505211	7.196575400793865	6.4279818880157436	-0.4938648108114574	-0.1860800704447918	4.959395556496517	4.497344089050704	5.105524715830304	5.077786203092844	5.48417835045171	-0.629355420500854	2.5620213847235522	4.868550005245392
ASV_18_DG-II-Clade-10-and-11	-0.4007939910771796	6.630750446177934	7.646733482284918	-0.3420717412893577	-0.43738864667247235	6.16228938672826	-0.18544069055993617	-0.2794776044362095	7.5728149822744975	7.0562277280687	4.885750188470109	5.13632640851264	5.00324823352629	5.901893030245606	-0.9785645623638448	4.275158240446662	5.6994490828501165	-0.44428268432921314	-0.6287199419630252	6.252670181060255	4.5739343979067275	-0.7258612872079269	6.888969018521105	5.280987833416602	6.931637304669371	4.677338015093876	-0.543915928171943	4.840251971826654	5.598143078766812	6.061980466701095	-0.2943680510325919	7.625694891937009	6.842651790013638	5.758400688073038	8.289032516034284	6.36629891211651	3.217063804258686	6.536079180293439	5.22300628498337	6.25781927184182	7.1425015525017965	5.637289818868194	8.13296880695505	3.847313006407589
ASV_67_DG-II-Clade-27	3.7394883178293643	5.31951237844104	-0.618945916113617	4.295859789053544	5.138146740413001	4.246609716701902	-0.18544069055993617	-0.2794776044362095	5.225126471012268	3.1554268233362777	4.739653672184551	4.494313527189262	4.964749652534652	5.203346801314228	5.296840249045304	9.032417238756267	9.13763431407896	-0.44428268432921314	2.851326204954878	8.855470419750477	4.1466754692062615	3.4809157353209024	7.1691271236741505	8.473097189648033	7.862889572713172	9.056236161215857	8.899915036785295	6.159412612025275	4.562585009068204	4.246731337694291	-0.2943680510325919	3.574552823150846	-0.24889822353026503	4.728371246099434	5.5965190976417665	-0.1860800704447918	-0.28412228719097854	5.786497122481279	-0.804253084373638	5.985800013813395	5.333718447420164	2.3808720828197156	4.042802448147843	-0.4966613437759566
ASV_77_DG-II-Clade-20	-0.4007939910771796	3.9953975498327408	-0.618945916113617	-0.3420717412893577	-0.43738864667247235	5.964762185060934	-0.18544069055993617	9.184096654307032	-0.2796439566300144	6.341419344224848	5.161228063378559	6.9954522726651405	7.0262060921229885	7.5681305532439795	6.493228707149839	7.3223994623646815	7.606558893826008	3.4261597261668246	-0.6287199419630252	7.365540504516486	4.499276537549469	-0.7258612872079269	-0.5490056394309928	6.115280513421389	6.020362395550409	7.101555877755714	7.336082556857943	6.473157318893092	6.414575607390381	-0.25974782082816006	-0.2943680510325919	5.572629751666018	-0.24889822353026503	4.157866500684214	6.195553528386918	-0.1860800704447918	-0.28412228719097854	6.327639891311523	5.600899511960153	6.01394914974906	7.09582076630086	9.436574627748513	4.750864540803364	4.959115051027711
ASV_8_DG-II-Clade-7	-0.4007939910771796	5.691188444924351	-0.618945916113617	-0.3420717412893577	-0.43738864667247235	7.54644231837055	8.0621112088315	9.147285592253695	-0.2796439566300144	6.156999104024763	6.562776155975858	8.102451388983289	7.830873803254619	10.461286020054215	8.82727783089447	5.121553510847627	6.214172474340442	3.940877494007962	-0.6287199419630252	5.3287913351936265	4.44621647136222	5.17340272511792	-0.5490056394309928	-0.9581834648860195	-0.6598751267231577	-0.7054562131222468	-0.543915928171943	3.969719082060058	7.848882156276799	-0.25974782082816006	-0.2943680510325919	10.624634052823653	-0.24889822353026503	4.041467538672483	10.681862335822197	4.36062681841406	-0.28412228719097854	10.855558375219932	10.303488396468838	-1.1670011700421519	7.267391118156312	9.303224999070949	-0.9577490381375924	-0.4966613437759566
