interc	pval	asv_id	asv_id_star
NA	0.011	ASV_1074_DG-I-Clade-5	*ASV_1074_DG-I-Clade-5
NA	0.003	ASV_822_DG-II-Clade-10-and-11	**ASV_822_DG-II-Clade-10-and-11
NA	0.006	ASV_498_DG-II_X	**ASV_498_DG-II_X
NA	0.002	ASV_489_DG-II-Clade-7	**ASV_489_DG-II-Clade-7
NA	0.002	ASV_602_DG-II-Clade-7	**ASV_602_DG-II-Clade-7
NA	0.002	ASV_668_DG-II-Clade-19	**ASV_668_DG-II-Clade-19
NA	0.002	ASV_464_DG-II-Clade-20	**ASV_464_DG-II-Clade-20
NA	0.002	ASV_662_DG-II-Clade-6	**ASV_662_DG-II-Clade-6
NA	0.008	ASV_526_DG-II-Clade-8	**ASV_526_DG-II-Clade-8
NA	0.002	ASV_945_DG-II-Clade-10-and-11	**ASV_945_DG-II-Clade-10-and-11
NA	0.041	ASV_520_DG-II-Clade-1	*ASV_520_DG-II-Clade-1
NA	0.002	ASV_878_DG-II-Clade-12	**ASV_878_DG-II-Clade-12
NA	0.032	ASV_1016_DG-II-Clade-9	*ASV_1016_DG-II-Clade-9
NA	0.002	ASV_1015_DG-IV-Hematodinium-Group	**ASV_1015_DG-IV-Hematodinium-Group
NA	0.032	ASV_1159_DG-II-Clade-10-and-11	*ASV_1159_DG-II-Clade-10-and-11
NA	0.002	ASV_1145_DG-II-Clade-22	**ASV_1145_DG-II-Clade-22
NA	0.031	ASV_1044_DG-II-Clade-10-and-11	*ASV_1044_DG-II-Clade-10-and-11
NA	0.031	ASV_1131_DG-I-Clade-5	*ASV_1131_DG-I-Clade-5
NA	0.032	ASV_853_DG-II-Clade-7	*ASV_853_DG-II-Clade-7
NA	0.022	ASV_1210_DG-II_X	*ASV_1210_DG-II_X
